Code,Name,MV,Revenue,RevenueG,Profits,ProfitsG,PE,PB,GP,NP,ROE,BVPS,LEV,URL
600117,西宁特钢,39.66,35.72,50.65,-3.60,0.00,0.00,5.57,5.11,-11.04,-40.40,0.96,94.32,http://quote.eastmoney.com/sh600117.html,,
600118,中国卫星,379.50,21.98,9.65,1.62,-3.22,114.61,8.17,15.68,8.35,3.48,3.93,48.38,http://quote.eastmoney.com/sh600118.html,,
600119,长江投资,71.99,6.66,-41.74,0.73,201.00,48.79,8.17,17.90,12.17,8.39,2.87,51.57,http://quote.eastmoney.com/sh600119.html,,
600120,浙江东方,178.30,26.24,-18.54,3.91,31.64,22.90,3.61,18.64,16.53,7.48,9.77,40.49,http://quote.eastmoney.com/sh600120.html,,
600121,郑州煤电,55.44,48.99,-27.97,-1.92,0.00,0.00,1.64,4.45,-4.08,-5.64,3.34,64.29,http://quote.eastmoney.com/sh600121.html,,
600122,宏图高科,136.00,88.43,6.51,1.39,-46.00,48.84,1.76,8.22,1.33,1.80,6.72,54.21,http://quote.eastmoney.com/sh600122.html,,
600123,兰花科创,87.74,17.51,-27.72,-1.82,-428.00,0.00,0.95,16.34,-14.71,-1.95,8.05,57.74,http://quote.eastmoney.com/sh600123.html,,
600125,铁龙物流,101.00,29.11,-14.22,1.26,-20.00,39.90,2.06,8.47,4.30,2.56,3.75,27.67,http://quote.eastmoney.com/sh600125.html,,
600126,杭钢股份,245.20,93.53,-22.79,3.39,0.00,20.52,1.75,9.03,3.66,3.05,5.39,43.84,http://quote.eastmoney.com/sh600126.html,,
600127,金健米业,45.44,10.08,13.22,0.10,0.00,232.89,6.11,12.01,1.02,1.32,1.16,45.99,http://quote.eastmoney.com/sh600127.html,,
600128,弘业股份,39.48,14.76,-23.77,0.22,3.68,88.79,2.66,7.97,1.28,1.47,6.02,43.31,http://quote.eastmoney.com/sh600128.html,,
600129,太极集团,81.75,38.87,1.02,9.64,436.00,4.24,4.99,29.19,24.66,72.62,3.84,82.77,http://quote.eastmoney.com/sh600129.html,,
600130,波导股份,71.19,18.12,138.68,0.15,-26.00,231.75,7.27,6.06,0.84,1.57,1.28,28.57,http://quote.eastmoney.com/sh600130.html,,
600131,岷江水电,66.80,8.46,24.27,1.56,20.39,30.48,6.39,22.51,19.03,16.60,2.08,58.83,http://quote.eastmoney.com/sh600131.html,,
600132,重庆啤酒,89.00,16.36,-2.79,0.98,19.49,45.98,7.79,39.21,5.83,8.37,2.36,68.52,http://quote.eastmoney.com/sh600132.html,,
600133,东湖高新,55.12,17.95,-15.86,0.16,26.63,175.20,3.21,19.80,0.80,0.92,2.70,88.95,http://quote.eastmoney.com/sh600133.html,,
600135,乐凯胶片,58.41,6.94,38.68,0.29,202.00,98.74,3.59,17.13,4.59,1.82,4.37,16.20,http://quote.eastmoney.com/sh600135.html,,
600136,当代明诚,95.29,1.60,52.86,0.20,-9.08,244.50,4.19,49.09,20.56,0.99,4.67,25.45,http://quote.eastmoney.com/sh600136.html,,
600137,浪莎股份,37.51,0.76,7.22,0.03,191.00,622.26,8.46,16.29,4.03,0.69,4.56,18.00,http://quote.eastmoney.com/sh600137.html,,
600138,中青旅,167.40,49.76,4.26,3.18,92.17,26.30,3.45,24.37,9.43,6.62,6.70,38.67,http://quote.eastmoney.com/sh600138.html,,
600139,西部资源,80.88,5.06,-15.16,-1.16,-1638.00,0.00,8.92,25.84,-23.98,-11.99,1.37,75.39,http://quote.eastmoney.com/sh600139.html,,
600141,兴发集团,69.20,106.20,5.68,0.79,-26.00,67.55,1.29,13.13,1.13,1.61,10.46,72.63,http://quote.eastmoney.com/sh600141.html,,
600143,金发科技,172.80,124.70,8.54,6.17,13.31,21.01,1.99,17.89,4.96,7.21,3.40,46.92,http://quote.eastmoney.com/sh600143.html,,
600145,*ST新亿,27.88,0.00,0.00,0.14,0.00,97.40,4.50,0.00,0.00,2.34,0.41,42.26,http://quote.eastmoney.com/sh600145.html,,
600146,商赢环球,156.80,0.04,96.96,-0.12,0.00,0.00,5.57,-10.34,-254.76,-14.67,5.99,59.11,http://quote.eastmoney.com/sh600146.html,,
600148,长春一东,36.98,2.66,1.62,0.02,-71.00,816.56,10.12,31.74,3.64,0.63,2.58,50.65,http://quote.eastmoney.com/sh600148.html,,
600149,廊坊发展,111.70,0.17,1093.82,-0.14,0.00,0.00,57.46,25.32,-87.32,-7.07,0.51,47.41,http://quote.eastmoney.com/sh600149.html,,
600150,中国船舶,329.00,118.00,-17.16,0.17,-90.00,994.58,1.87,10.70,-1.81,0.10,12.75,62.19,http://quote.eastmoney.com/sh600150.html,,
600151,航天机电,160.80,24.07,74.22,0.96,0.00,83.42,2.62,19.19,3.72,2.32,4.28,67.01,http://quote.eastmoney.com/sh600151.html,,
600152,维科精华,33.75,2.60,-28.30,-0.45,-332.00,0.00,6.23,7.73,-20.68,-7.79,1.84,52.19,http://quote.eastmoney.com/sh600152.html,,
